,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,naliya,IN,23.2667,68.8333,84.16,76,100,6.22,overcast clouds
124,ahipara,NZ,-35.1667,173.1667,55.33,84,89,10.74,overcast clouds
125,sinnamary,GF,5.3833,-52.95,84.31,70,67,8.99,broken clouds
126,chokurdakh,RU,70.6333,147.9167,48.06,58,28,6.17,scattered clouds
127,ponta do sol,PT,32.6667,-17.1,80.01,64,6,7.87,clear sky
128,mehamn,NO,71.0357,27.8492,60.75,88,40,4.61,scattered clouds
129,faanui,PF,-16.4833,-151.75,77.14,72,61,24.09,broken clouds
130,almaznyy,RU,48.0448,40.045,65.53,57,10,10.71,clear sky
131,nemuro,JP,43.3236,145.575,59.36,91,100,11.03,overcast clouds
132,meulaboh,ID,4.1363,96.1285,77.22,90,49,5.95,scattered clouds
133,talaya,RU,61.3833,152.75,60.89,88,70,3.13,broken clouds
134,barabinsk,RU,55.3571,78.357,61.14,65,100,8.25,overcast clouds
135,misratah,LY,32.3754,15.0925,80.89,53,0,14.29,clear sky
136,kastamonu,TR,41.5,33.6667,56.14,86,4,4.65,clear sky
137,plettenberg bay,ZA,-34.0527,23.3716,56.5,84,90,5.88,overcast clouds
138,flinders,AU,-34.5833,150.8552,46.18,76,15,4.0,few clouds
139,ponta delgada,PT,37.7333,-25.6667,75.92,69,20,13.8,few clouds
140,benxi,CN,41.2886,123.765,64.72,96,1,2.77,clear sky
141,englewood,US,39.6478,-104.9878,93.7,26,20,5.75,few clouds
142,teofilo otoni,BR,-17.8575,-41.5053,75.9,60,97,6.35,overcast clouds
143,leningradskiy,RU,69.3833,178.4167,35.13,78,97,11.61,overcast clouds
144,airai,TL,-8.9266,125.4092,53.73,86,36,2.91,scattered clouds
145,coruripe,BR,-10.1256,-36.1756,77.81,73,7,11.1,clear sky
146,port hedland,AU,-20.3167,118.5667,53.65,87,75,8.05,broken clouds
147,marsh harbour,BS,26.5412,-77.0636,84.11,62,16,11.18,few clouds
148,bambous virieux,MU,-20.3428,57.7575,70.21,78,75,11.5,light rain
149,rundu,NA,-17.9333,19.7667,60.96,32,1,6.44,clear sky
150,lianran,CN,24.9227,102.485,66.74,86,27,2.8,scattered clouds
151,katsuura,JP,35.1333,140.3,74.84,93,100,5.75,light rain
152,kamaishi,JP,39.2667,141.8833,66.63,92,98,2.75,overcast clouds
153,lata,PT,40.1629,-8.3327,93.49,40,68,9.22,broken clouds
154,sao filipe,CV,14.8961,-24.4956,76.1,73,19,14.27,few clouds
155,shelburne,CA,44.0787,-80.2041,74.3,38,5,9.31,clear sky
156,hobart,AU,-42.8794,147.3294,45.05,95,100,3.44,mist
157,daulatpur,PK,26.5015,67.9706,87.84,64,98,8.01,light rain
158,hammerfest,NO,70.6634,23.6821,54.05,100,75,4.61,broken clouds
159,mountain home,US,43.133,-115.6912,88.27,25,0,3.13,clear sky
160,trujillo,PE,-8.116,-79.03,60.76,82,100,12.66,mist
161,kidero,RU,42.1932,45.9614,56.37,65,0,3.96,clear sky
162,fort nelson,CA,58.8053,-122.7002,65.79,48,40,4.61,scattered clouds
163,qasigiannguit,GL,68.8193,-51.1922,53.85,52,16,7.56,few clouds
164,tocopilla,CL,-22.092,-70.1979,60.31,62,32,5.84,scattered clouds
165,gimli,CA,50.6336,-96.9907,73.42,68,100,14.97,overcast clouds
166,conceicao do mato dentro,BR,-19.0372,-43.425,80.15,33,17,10.45,few clouds
167,mashhad,IR,36.297,59.6062,84.34,30,0,13.8,clear sky
168,mareeba,AU,-17.0,145.4333,49.44,86,66,2.33,broken clouds
169,chumikan,RU,54.7183,135.315,53.91,100,100,4.74,light rain
170,lincoln,US,40.8,-96.667,89.15,57,0,14.97,clear sky
171,margate,GB,51.3813,1.3862,69.12,71,48,5.01,scattered clouds
172,oriximina,BR,-1.7656,-55.8661,89.65,52,24,7.18,few clouds
